pubkey,votekey,dz_fee_lamports_926,dz_fee_lamports_927,dz_fee_lamports_928,dz_fee_lamports_929,dz_fee_lamports_930,previous_fees,paid_926,paid_927,paid_928,paid_929,paid_930,previous_paid
sbidYi7fbif6qNsMpwBKvyF5DKcLCbjaegpADsKqNux,SBLZib4npE7svxFA7AsD3ytdQAfYNb39c8zsU82AA2E,234843766,325535019,448872823,315769001,310670048,11189015555,Yes,Yes,Yes,Yes,No,11189015555
sfvTq7ojrEc5WdXcHijz676eX1pc5MgoLxbkYSdRDAB,sfo5vA1fFdPRsvqd8qdePtTnK97Qj6Jj3GupEzmNPjJ,153617752,183128060,122286060,99543255,144647671,4150292363,Yes,Yes,Yes,Yes,No,4150292363
sh4rk6QkkaHkYtn9TCNjTPmAk7yBHCNw35pp1KHo4UC,sh4rko7QjstESbderAwDEGitkXuuHdXLK4h8BQkr81i,0,0,0,0,0,1907785891,NA,NA,NA,NA,NA,1630660757
shftkxnsXmqAkmLgz9Mn7bNB5Fr6mKgFc58kFHfVikj,shft7Fry1js37Hm9wq4dfwcZSp2DyKszeWMvEpjYCQ1,4024996477,5448776620,6766839834,6314770834,5342091943,175607101544,Yes,Yes,Yes,Yes,No,175607101544
simpRo1FrQYGa1moicfgnPDp6KyE38d4gYrZzhjXYJb,Simpj3KyRQmpRkXuBvCQFS7DBBG6vqw93SkZb9UD1hp,342900325,322494896,292353472,419736511,357147718,16360487328,Yes,Yes,Yes,Yes,No,16360487328
soLStaCk5TiGCpeLKa9Fvv6f5JQGMa6S3uhLh826e9N,soLStAckuvkHtNzHF1cwmeSRG1FzVxKxwsdWZ1yrHrz,304120764,388676225,787981378,448616537,0,9072851495,No,No,No,No,NA,8478616025
spcti6GQVvinbtHU9UAkbXhjTcBJaba1NVx4tmK4M5F,49DJjUX3cwFvaZD5rCAwubiz7qdRWDez9xmB381XdHru,363592425,415553362,479218589,351832763,561496982,18228132170,Yes,Yes,Yes,Yes,No,18228132170
spur5CDwBvTZszvy1ozGjRc1x2TuDWo3VF4jrq7zgvD,spuraUaJeFZfdbgXpJhgqEHFAXatfrMArARXhXioxKd,140209513,198492054,218304196,247407413,113520131,8785425459,No,No,No,No,No,0
stacheBmGG5zMKuetUevAbc4m4dLbve1VPcpSur3voH,sTach38ebT8jnGH8i2D1g8NDAS6An19whVMnSSWPXt4,0,0,93291317,121951366,116713524,7846670595,NA,NA,Yes,Yes,No,7846670595
te1ee9rGf369wxYQkuxkvuvMuTJ9cksgZySmNUF8rNY,te1exfYnykh2cFGCwGSLQu26Dpr8n2PozvBqH5Eoi3K,56058365,52239857,53363724,68837669,34431631,2894442356,Yes,Yes,Yes,No,No,2894442356
tkmaiSoZ3F8MofkQBVWG6JYSCzyN6ioe7ReYXohx3WJ,TKMA1fBGq4M7gF2CNnhphX6vNateFc2cm2FL2mYwq7e,58947835,106760467,68934803,52720853,38660618,8110994434,Yes,Yes,Yes,Yes,No,5202704407
uEhHSnCXvWgtgvVaYscPHjG13G3peMmngQQ2ghC54i3,5K8qgC9nHzKHSSyo9fKLsMfYmavYdMgEaYx86cMmVKVv,229336122,292126230,0,0,0,9663718962,Yes,Yes,NA,NA,NA,8562907667
ungM4fafkQg1e13MAzwzuvCxtTTiTZ4Xcq7KqnJRyVJ,HkK6U5e8HkTs5uE7VEWQ2H3NuznjLF1mpoRVjzdDgfF5,0,0,0,0,0,641940723,NA,NA,NA,NA,NA,641940723
