"pubkey","votekey","stake","commission","mev_commission","inflation","mev_rewards","block_rewards","dz_fee"
"5FbKKGdEaFcxGxxaLKVvBes2JxiKbreh8w2ZpMcSQ2a5","6n8taYki7RscA1XW7xGmevLcqj855oSgDgjPe1dZyHfW",50343.581004958,7,8,17.48890944,0.192216477,0.502388187,0.02511940935
"DtY5Bzxd75iWQRvKwM2xLUxqwLT1RRoeNwmVvgS2JANA","BSRRvjdKd8SHApi3KtTGbzrdhUojitiwAt4xt4nAxbFh",50137.123657878,0,0,17.355379934,0.366501967,0.470907832,0.0235453916
"9ueKvL3WiLM4mNUZrfWqPTYY2Np5YwzFTYvAiPibx1Zq","68Lq2AaLY1j4zVhzNc1R8sWWgfh5QdPMP1Fawx1iWEVV",50113.717781805,0,0,17.403184356,0.160670299,0.712162703,0.03560813515
"3KNGMiXwhy2CAWVNpLoUt25sNngFnX1mZpaiEeVccBA6","BH7asDZbKkTmT3UWiNfmMVRgQEEpXoVThGPmQfgWwDhg",49566.308861763,5,10,16.952838135,0.168596783,0.685860276,0.0342930138
"uxqVAFQfox97HazsPtkKiwhypQH6jEGXkQBHDtXshrk","gGQb6ZcDG7fsVLWTvXZ1LLoY348tc1zcP2wkh8kshrk",49314.703271193,5,10,16.694043027,0.050201215,0.477594989,0.02387974945
"2dxz129YxB1xtf7Mx6HUT5JspexArNNtQt84FYueWZV7","5RCD4pZcKH3NHN4XHxvsnVAawSaConLgsZbreSN5dXpZ",48908.222192232,5,10,16.989193028,0.171501667,0.460900736,0.0230450368
"2jS8AX38m8F9C5juToW1FmTufEbb1DfDzZJj9HSJcWwo","D3DfFvmLBKkX9JJNEpJRXpM1pYTVPQ5dpPQRc9F49xk4",48730.221561895,0,8,16.819490305,0.187922458,0.896255913,0.04481279565
"XAqHfPFsqTfAJHBRHAcEECkMSykXjkUj2Rta16Qshrk","ySxF6XaSFSwU46iJbgyh2rAW5jagLbYULPtWvZCshrk",47958.896006597,5,10,16.248385801,0.738462199,1.118905993,0.05594529965
"mXv18ov8qCiQGs3ieoen981LdgZzYJjJak6reK6fpNC","Mxv1Ubm71XoUvxrN3qjN8ii6Bh5b43NuuKywsWx6ox2",47225.331240742,0,10,16.287020414,0.240145656,0.854623793,0.04273118965
"CmHAicGXp6boDhgp7Kb1JbPcvf7GstyK2yMyMxZY2pKU","BKccvpa2f5McCLjE91pSGzEY6Ac5sWm1jmHy5QmZ1vTm",47008.092048031,0,0,16.203896926,0.205268531,0.708227086,0.0354113543
"Fy7RCjDdFLG8wLn7TBKbccaKwYX1FetdSoVDREdUHf5o","4Q1khZnsdtNyQjUCpYPBDYyogui8b9x1MWtKNdaPiJdv",46820.359206468,0,0,16.139580887,0.484793353,0.445816623,0.02229083115
"mALL2W6DUgDDtcyurC9v5YTF2CMMeuRwPBkf6tEoG3y","mALLoAbdQrgsnm7kWJyPrhcQcmxfT73t8DaqEkpZNd6",46662.203084285,5,10,17.279705708,0.116976218,0.735024236,0.0367512118
"4vdWYn2KbmQ3Dns5wVBfz4CFQDds4b7CpsC8MHBhHAib","DvFTFLrEQSfEadPQdesvf5bpYWYqXK9iaJAjq95piQBs",46601.479239963,0,6,16.16848387,0.08312666,0.61280635,0.0306403175
